,building_name,year,price
0,Bunker Hill Tower,2011,333500.0
1,Bunker Hill Tower,2012,330000.0
2,Bunker Hill Tower,2013,399000.0
3,Bunker Hill Tower,2014,370000.0
4,Bunker Hill Tower,2015,522500.0
5,Bunker Hill Tower,2016,527000.0
6,Bunker Hill Tower,2017,465000.0
7,Bunker Hill Tower,2018,467500.0
8,Promenade,2011,330000.0
9,Promenade,2012,285000.0
10,Promenade,2013,417500.0
11,Promenade,2014,518500.0
12,Promenade,2015,620000.0
13,Promenade,2016,480000.0
14,Promenade,2017,572500.0
15,Promenade,2018,588000.0
16,Promenade West,2011,312500.0
17,Promenade West,2012,380000.0
18,Promenade West,2013,385825.0
19,Promenade West,2014,482500.0
20,Promenade West,2015,535000.0
21,Promenade West,2016,560000.0
22,Promenade West,2017,562500.0
23,Promenade West,2018,600000.0
